u,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Km_Sup_to_LL1_Km_Sup,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup
17.75,,,69.03106897284493,69.03106897284493
18.0,,,69.17998167305525,69.17998167305525
18.25,,,69.32906671252633,69.32906671252633
18.5,,,69.47832364399673,69.47832364399672
18.75,,,69.62775201921788,69.62775201921788
19.0,,,69.77735138897812,69.7773513889781
19.25,,,69.92712130312587,69.92712130312587
19.5,,,70.07706131059425,70.07706131059425
19.75,,,70.22717095942383,70.22717095942383
20.0,,,70.3774497967871,70.37744979678709
20.25,,,70.52789736901094,70.52789736901094
20.5,,,70.6785132216012,70.6785132216012
20.75,,,70.82929689926515,70.82929689926513
21.0,,,70.98024794593537,70.98024794593537
21.25,,,71.13136590479256,71.13136590479255
21.5,,,71.28265031828892,71.28265031828892
21.75,,,71.43410072817112,71.43410072817112
22.0,,,71.58571667550333,71.58571667550333
22.25,,,71.73749770068989,71.73749770068987
22.5,,,71.88944334349833,71.88944334349833
22.75,,,72.04155314308207,72.04155314308206
23.0,,,72.19382663800272,72.19382663800272
23.25,,,72.34626336625291,72.34626336625291
23.5,,,72.4988628652786,72.4988628652786
23.75,,,72.65162467200125,72.65162467200125
24.0,,,72.80454832284006,72.80454832284006
24.25,,,72.95763335373448,72.95763335373448
24.5,,,73.11087930016538,73.11087930016538
24.75,,,73.26428569717783,73.26428569717783
25.0,,,73.41785207940228,73.41785207940228
25.25,,,73.5715779810762,73.57157798107619
25.5,,,73.72546293606621,73.72546293606621
25.75,,,73.87950647788897,73.87950647788897
26.0,,,74.0337081397326,74.0337081397326
26.25,,,74.18806745447796,74.18806745447795
26.5,,,74.34258395471971,74.34258395471971
26.75,,,74.49725717278731,74.4972571727873
27.0,,,74.65208664076594,74.65208664076594
27.25,,,74.80707189051685,74.80707189051684
27.5,,,74.96221245369833,74.96221245369833
27.75,,,75.11750786178608,75.11750786178607
28.0,,,75.27295764609343,75.27295764609343
28.25,,,75.42856133779122,75.42856133779122
28.5,,,75.58431846792908,75.58431846792907
28.75,,,75.74022856745374,75.74022856745374
29.0,,,75.89629116723015,75.89629116723015
29.25,,,76.05250579806031,76.05250579806031
29.5,,,76.20887199070323,76.20887199070322
29.75,,,76.36538927589429,76.36538927589429
30.0,,,76.52205718436412,76.52205718436412
30.25,,,76.6788752468584,76.6788752468584
30.5,,,76.83584299415625,76.83584299415625
30.75,,,76.99295995708923,76.99295995708921
31.0,,,77.15022566656005,77.15022566656005
31.25,,,77.30763965356104,77.30763965356104
31.5,,,77.46520144919299,77.46520144919299
31.75,,,77.62291058468277,77.62291058468276
32.0,,,77.78076659140163,77.78076659140163
32.25,,,77.93876900088351,77.9387690008835
