u,LLm2_Kp_Sdown_to_LL1_Kp_Sdown,LLm2_Km_Sdown_to_LL1_Km_Sdown,LLm2_Kp_Sup_to_LL1_Kp_Sup,LLm2_Km_Sup_to_LL1_Km_Sup
21.25,71.13136590479256,48.15494167203755,71.13136590479256,48.15494167203755
21.5,71.28265031828892,48.03737529338324,71.28265031828892,48.037375293383235
21.75,71.43410072817112,47.92002455616302,71.4341007281711,47.92002455616302
22.0,71.58571667550333,47.80288948953748,71.58571667550333,47.80288948953746
22.25,71.73749770068987,47.68597011915178,71.73749770068987,47.68597011915178
22.5,71.88944334349833,47.56926646713896,71.88944334349833,47.56926646713896
22.75,72.04155314308206,47.45277855212225,72.04155314308206,47.45277855212225
23.0,72.19382663800272,47.33650638921874,72.19382663800272,47.336506389218734
23.25,72.34626336625291,47.220449990043114,72.34626336625291,47.220449990043114
23.5,72.4988628652786,47.10460936271143,72.4988628652786,47.10460936271143
23.75,72.65162467200125,46.98898451184524,72.65162467200125,46.98898451184523
24.0,72.80454832284006,46.87357543857597,72.80454832284006,46.87357543857596
24.25,72.95763335373448,46.75838214055009,72.95763335373448,46.75838214055008
24.5,73.11087930016538,46.643404611933754,73.11087930016538,46.643404611933754
24.75,73.26428569717783,46.52864284341794,73.26428569717781,46.52864284341794
25.0,73.41785207940228,46.41409682222455,73.41785207940227,46.41409682222455
25.25,73.57157798107619,46.299766532111825,73.57157798107619,46.299766532111825
25.5,73.72546293606624,46.18565195338063,73.72546293606622,46.18565195338063
25.75,73.87950647788897,46.071753062880674,73.87950647788895,46.07175306288067
26.0,74.0337081397326,45.95806983401736,74.03370813973258,45.95806983401736
26.25,74.18806745447796,45.844602236758675,74.18806745447796,45.84460223675867
26.5,74.34258395471971,45.73135023764224,74.34258395471971,45.73135023764224
26.75,74.49725717278731,45.618313799782776,74.49725717278731,45.61831379978277
27.0,74.65208664076594,45.505492882879864,74.65208664076593,45.50549288287985
27.25,74.80707189051685,45.39288744322618,74.80707189051684,45.39288744322618
27.5,74.96221245369833,45.28049743371501,74.96221245369833,45.28049743371501
27.75,75.11750786178608,45.16832280384953,75.11750786178607,45.16832280384953
28.0,75.27295764609343,45.05636349975097,75.27295764609343,45.05636349975097
28.25,75.42856133779122,44.94461946416799,75.42856133779122,44.94461946416799
28.5,75.58431846792907,44.83309063648549,75.58431846792905,44.83309063648548
28.75,75.74022856745376,44.72177695273465,75.74022856745374,44.72177695273465
29.0,75.89629116723015,44.6106783456023,75.89629116723015,44.6106783456023
29.25,76.05250579806031,44.499794744440706,76.05250579806031,44.4997947444407
29.5,76.20887199070322,44.38912607527854,76.20887199070322,44.38912607527854
29.75,76.3653892758943,44.27867226083034,76.36538927589429,44.27867226083034
30.0,76.52205718436412,44.168433220508106,76.52205718436412,44.168433220508106
30.25,76.6788752468584,44.05840887043168,76.67887524685838,44.05840887043167
30.5,76.83584299415627,43.94859912344026,76.83584299415625,43.94859912344025
30.75,76.9929599570892,43.83900388910338,76.9929599570892,43.83900388910338
31.0,77.15022566656006,43.729623073733094,77.15022566656005,43.72962307373309
31.25,77.30763965356104,43.62045658039548,77.30763965356103,43.62045658039547
31.5,77.46520144919299,43.5115043089226,77.46520144919297,43.5115043089226
31.75,77.62291058468276,43.40276615592528,77.62291058468276,43.40276615592528
32.0,77.78076659140164,43.29424201480504,77.78076659140163,43.29424201480504
32.25,77.93876900088351,43.185931775767486,77.9387690008835,43.18593177576747
32.5,78.09691734484234,43.07783532583469,78.09691734484234,43.077835325834684
32.75,78.25521115519021,42.96995254885868,78.2552111551902,42.96995254885867
33.0,78.41364996405429,42.86228332553477,78.41364996405427,42.86228332553477
33.25,78.57223330379507,42.75482753341499,78.57223330379507,42.75482753341499
33.5,78.73096070702256,42.647585046922224,78.73096070702255,42.64758504692222
33.75,78.88983170661417,42.540555737363924,78.88983170661417,42.540555737363924
34.0,79.04884583573106,42.433739472946186,79.04884583573104,42.433739472946186
34.25,79.20800262783504,42.32713611878847,79.20800262783503,42.32713611878847
34.5,79.3673016167058,42.22074553693818,79.3673016167058,42.22074553693818
34.75,79.52674233645631,42.114567586384965,79.52674233645631,42.114567586384965
35.0,79.68632432154985,42.00860212307623,79.68632432154983,42.00860212307622
35.25,79.8460471068157,41.90284899993207,79.84604710681569,41.90284899993206
35.5,80.00591022746603,41.797308066860616,80.00591022746602,41.79730806686061
35.75,80.1659132191101,41.69197917077339,80.16591321911008,41.691979170773386
36.0,80.32605561777183,41.5868621556015,80.32605561777181,41.586862155601494
36.25,80.48633695990368,41.48195686231074,80.48633695990367,41.48195686231074
36.5,80.64675678240323,41.37726312891831,80.6467567824032,41.37726312891831
36.75,80.80731462262767,41.27278079050881,80.80731462262767,41.27278079050881
37.0,80.96801001840893,41.16850967925025,80.96801001840892,41.16850967925025
37.25,81.12884250806911,41.06444962441136,81.1288425080691,41.06444962441135
37.5,81.28981163043453,40.960600452377626,81.28981163043451,40.96060045237762
37.75,81.45091692485055,40.85696198666824,81.45091692485055,40.856961986668225
38.0,81.61215793119618,40.75353404795349,81.61215793119618,40.75353404795349
38.25,81.77353418989816,40.65031645407164,81.77353418989816,40.650316454071636
38.5,81.93504524194508,40.5473090200463,81.93504524194508,40.5473090200463
38.75,82.0966906289014,40.44451155810367,82.0966906289014,40.44451155810367
39.0,82.25846989292108,40.34192387769072,82.25846989292108,40.34192387769071
39.25,82.42038257676138,40.23954578549226,82.42038257676138,40.23954578549226
39.5,82.58242822379628,40.13737708544935,82.58242822379628,40.137377085449344
39.75,82.74460637802977,40.0354175787772,82.74460637802976,40.0354175787772
40.0,82.90691658410884,39.933667063983,82.90691658410884,39.933667063983
40.25,83.06935838733713,39.832125336884594,83.06935838733713,39.832125336884594
40.5,83.23193133368684,39.73079219062872,83.23193133368683,39.73079219062872
40.75,83.39463496981183,39.62966741570971,83.39463496981182,39.62966741570971
41.0,83.55746884306063,39.528750799987726,83.55746884306063,39.528750799987726
41.25,83.7204325014878,39.428042128707986,83.7204325014878,39.42804212870798
41.5,83.88352549386728,39.327541184519454,83.88352549386728,39.327541184519454
41.75,84.0467473697033,39.22724774749403,84.0467473697033,39.227247747494026
42.0,84.21009767924313,39.12716159514517,84.21009767924312,39.12716159514517
42.25,84.37357597348878,39.027282502447555,84.37357597348878,39.02728250244755
42.5,84.53718180420756,38.92761024185637,84.53718180420755,38.92761024185637
42.75,84.70091472394527,38.82814458332648,84.70091472394526,38.82814458332648
43.0,84.86477428603558,38.72888529433204,84.86477428603557,38.72888529433204
43.25,85.02876004461278,38.629832139886375,85.02876004461278,38.629832139886375
43.5,85.19287155462142,38.530984882561185,85.1928715546214,38.530984882561185
43.75,85.35710837182808,38.43234328250672,85.35710837182806,38.43234328250671
44.0,85.52147005283159,38.333907097471545,85.52147005283157,38.33390709747154
44.25,85.68595615507353,38.235676082822415,85.68595615507353,38.23567608282241
44.5,85.8505662368486,38.13764999156433,85.85056623684859,38.137649991564324
44.75,86.015299857315,38.03982857436074,86.01529985731499,38.039828574360726
45.0,86.18015657650429,37.94221157955374,86.18015657650429,37.94221157955374
45.25,86.3451359553313,37.84479875318421,86.34513595533129,37.8447987531842
45.5,86.51023755560382,37.74758983901213,86.51023755560382,37.74758983901212
45.75,86.67546094003251,37.65058457853715,86.67546094003251,37.65058457853715
46.0,86.84080567223972,37.553782711018826,86.84080567223972,37.553782711018826
46.25,87.0062713167695,37.45718397349728,87.00627131676949,37.457183973497266
46.5,87.17185743909613,37.36078810081375,87.17185743909613,37.36078810081374
46.75,87.33756360563379,37.26459482563131,87.33756360563378,37.264594825631306
47.0,87.50338938374416,37.168603878455095,87.50338938374415,37.16860387845509
47.25,87.66933434174692,37.072814987653864,87.66933434174692,37.07281498765386
47.5,87.83539804892675,36.97722787947983,87.83539804892675,36.97722787947982
47.75,88.00158007554246,36.88184227809015,88.00158007554246,36.88184227809013
48.0,88.167879992835,36.78665790556752,88.167879992835,36.78665790556752
48.25,88.33429737303591,36.69167448194122,88.33429737303591,36.691674481941206
48.5,88.50083178937496,36.59689172520764,88.50083178937494,36.596891725207634
48.75,88.66748281608776,36.50230935135188,88.66748281608774,36.50230935135188
49.0,88.83425002842422,36.40792707436836,88.83425002842421,36.40792707436835
49.25,89.00113300265544,36.31374460628169,89.00113300265542,36.31374460628168
49.5,89.16813131608123,36.219761657168064,89.16813131608123,36.219761657168064
49.75,89.33524454703752,36.125977935176145,89.33524454703749,36.12597793517614
50.0,89.50247227490365,36.03239314654823,89.50247227490365,36.032393146548216
50.25,89.66981408010881,35.93900699564144,89.66981408010881,35.939006995641435
50.5,89.83726954413916,35.84581918494843,89.83726954413916,35.845819184948425
50.75,90.00483824954475,35.75282941511927,90.00483824954475,35.752829415119265
51.0,90.17251977994587,35.66003738498168,90.17251977994587,35.66003738498167
51.25,90.34031372003946,35.56744279156299,90.34031372003946,35.56744279156298
51.5,90.50821965560574,35.475045330110845,90.50821965560573,35.47504533011086
51.75,90.67623717351381,35.38284469411448,90.67623717351381,35.38284469411448
52.0,90.84436586172822,35.29084057532598,90.84436586172822,35.29084057532597
52.25,91.0126053093145,35.19903266378116,91.01260530931448,35.19903266378115
52.5,91.180955106445,35.10742064782111,91.180955106445,35.10742064782111
52.75,91.34941484440517,35.016004214113025,91.34941484440516,35.01600421411301
53.0,91.51798411559778,34.92478304767151,91.51798411559778,34.92478304767151
53.25,91.68666251354966,34.833756831879754,91.68666251354966,34.83375683187975
53.5,91.85544963291602,34.7429252485103,91.85544963291602,34.742925248510296
53.75,92.02434506948595,34.65228797774674,92.02434506948595,34.65228797774674
54.0,92.1933484201875,34.561844698204155,92.1933484201875,34.561844698204155
54.25,92.36245928309205,34.47159508695074,92.36245928309205,34.47159508695074
54.5,92.53167725742011,34.381538819528316,92.5316772574201,34.38153881952831
54.75,92.70100194354477,34.2916755699739,92.70100194354475,34.291675569973904
55.0,92.87043294299698,34.20200501084037,92.87043294299698,34.20200501084036
55.25,93.03996985846928,34.11252681321713,93.03996985846928,34.11252681321712
55.5,93.20961229382108,34.02324064675183,93.20961229382108,34.023240646751816
55.75,93.37935985408168,33.934146179670684,93.37935985408168,33.93414617967068
56.0,93.54921214545536,33.84524307879924,93.54921214545533,33.84524307879924
56.25,93.71916877532422,33.75653100958374,93.7191687753242,33.75653100958373
56.5,93.88922935225264,33.66800963611148,93.88922935225264,33.66800963611148
56.75,94.05939348599102,33.57967862113158,94.05939348599102,33.57967862113157
57.0,94.22966078747905,33.49153762607601,94.22966078747905,33.491537626076
57.25,94.40003086884909,33.40358631107967,94.40003086884909,33.403586311079664
57.5,94.57050334342988,33.315824335001906,94.57050334342988,33.31582433500189
57.75,94.74107782574964,33.22825135544616,94.74107782574964,33.22825135544614
58.0,94.91175393153873,33.14086702878096,94.91175393153873,33.14086702878095
58.25,95.0825312777333,33.05367101016033,95.0825312777333,33.05367101016032
58.5,95.25340948247784,32.96666295354423,95.25340948247782,32.96666295354422
58.75,95.42438816512808,32.87984251171871,95.42438816512808,32.87984251171871
59.0,95.59546694625368,32.79320933631655,95.59546694625367,32.79320933631654
59.25,95.76664544764071,32.70676307783718,95.7666454476407,32.70676307783717
59.5,95.93792329229395,32.62050338566719,95.93792329229393,32.620503385667185
59.75,96.10930010443971,32.53442990810014,96.10930010443971,32.53442990810014
60.0,96.2807755095281,32.448542292356635,96.2807755095281,32.44854229235663
60.25,96.45234913423424,32.362840184604934,96.45234913423423,32.36284018460493
60.5,96.6240206064616,32.27732322997977,96.62402060646158,32.27732322997976
60.75,96.79578955534328,32.19199107260326,96.79578955534325,32.19199107260325
61.0,96.96765561124371,32.10684335560428,96.96765561124371,32.106843355604276
61.25,97.13961840576113,32.02187972113782,97.13961840576113,32.021879721137815
61.5,97.31167757172832,31.93709981040555,97.31167757172831,31.937099810405545
61.75,97.48383274321492,31.852503263674425,97.48383274321492,31.852503263674418
62.0,97.65608355552862,31.768089720296885,97.6560835555286,31.768089720296878
62.25,97.82842964521654,31.683858818729878,97.82842964521653,31.683858818729874
62.5,98.00087065006653,31.599810196554444,98.00087065006652,31.59981019655444
62.75,98.17340620910828,31.515943490494976,98.17340620910826,31.515943490494973
63.0,98.34603596261434,31.43225833643816,98.34603596261431,31.432258336438153
63.25,98.51875955210181,31.348754369452564,98.51875955210181,31.34875436945256
